n_neurons,n_layers,mse,net_mse
20,3,60983.4943976835,-41641.02204487881
10,2,60986.43906621504,-41638.07737634727
20,10,60986.86704439314,-41637.64939816917
15,6,60988.56035144176,-41635.95609112055
5,1,60989.02679647307,-41635.48964608924
10,20,60989.71659983854,-41634.79984272377
3,5,60991.35921489105,-41633.15722767126
10,10,60991.63966438926,-41632.87677817305
3,1,60991.73348320216,-41632.78295936015
15,4,60992.50688079701,-41632.0095617653
20,5,60992.88141904076,-41631.63502352155
20,1,60993.288836589076,-41631.22760597323
10,4,60993.67621784833,-41630.840224713975
20,4,60993.87847616582,-41630.63796639649
15,3,60994.21451962747,-41630.301922934836
15,20,60994.2744142254,-41630.24202833691
6,6,60994.37174051858,-41630.144702043726
10,6,60994.84024671705,-41629.676195845255
15,2,60994.85395394238,-41629.66248861993
5,2,60995.160115623265,-41629.35632693904
6,3,60995.24878685126,-41629.267655711046
10,3,60995.26431752334,-41629.25212503897
4,5,60995.40717660425,-41629.10926595806
20,6,60995.41731977704,-41629.099122785265
2,2,60995.68737383945,-41628.82906872286
6,1,60995.97797122621,-41628.5384713361
2,4,60996.42229190641,-41628.094150655896
2,10,60997.223607526794,-41627.292835035514
6,20,60997.48324661974,-41627.03319594257
4,10,60997.57899151212,-41626.93745105019
3,2,60997.591641349805,-41626.9248012125
10,1,60998.030801773195,-41626.48564078911
10,5,60998.11779833662,-41626.39864422569
3,4,60998.24375567075,-41626.272686891556
6,5,60998.34055641933,-41626.17588614298
6,10,60998.414879792595,-41626.10156276971
15,10,60998.49026128079,-41626.026181281515
3,3,60998.560250313254,-41625.956192249054
20,2,60998.83610945893,-41625.68033310338
5,5,60998.875988521075,-41625.64045404123
2,3,60999.07858701186,-41625.437855550445
4,4,60999.33959037519,-41625.17685218712
4,20,60999.37531737767,-41625.14112518464
5,20,60999.795083051715,-41624.72135951059
5,6,61000.00919046341,-41624.5072520989
2,6,61001.21007476703,-41623.30636779528
6,2,61001.55347271698,-41622.96296984533
2,1,61001.977914921845,-41622.53852764046
3,20,61002.03393670971,-41622.4825058526
15,5,61002.30440477472,-41622.21203778759
4,6,61002.70267497562,-41621.81376758669
5,10,61003.67258613423,-41620.84385642808
2,20,61003.80879675912,-41620.70764580319
4,3,61003.9392986178,-41620.57714394451
1,2,61004.44212051304,-41620.074322049266
5,3,61005.434458062075,-41619.08198450023
5,4,61005.93210659827,-41618.584335964035
3,6,61006.019827931705,-41618.4966146306
6,4,61006.14107572792,-41618.375366834385
3,10,61008.50134868658,-41616.01509387573
20,20,61008.615051334404,-41615.901391227904
1,1,61008.7405382102,-41615.77590435211
1,3,61010.01182735407,-41614.504615208236
1,20,61010.94595895982,-41613.57048360249
1,4,61011.713386588075,-41612.80305597423
1,5,61013.330545165605,-41611.1858973967
4,1,61013.76047300571,-41610.7559695566
1,6,61014.84468587202,-41609.67175669029
2,5,61015.328498326235,-41609.18794423607
4,2,61017.82278443413,-41606.69365812818
15,1,61024.408453701464,-41600.107988860844
1,10,61032.69284619237,-41591.82359636994
