min_samples_leaf,n_estimators,mse,net_mse
1000,100,102599.7535486183,-24.762893944003736
1000,100,102602.26796033265,-22.248482229653746
500,100,102603.01253635949,-21.50390620282269
500,100,102603.06173874259,-21.454703819719725
1000,100,102603.56565661535,-20.950785946959513
1000,100,102604.13488080983,-20.381561752481502
1000,100,102604.49332355664,-20.02311900566565
1000,100,102604.51712285886,-19.999319703449146
500,100,102604.61787811932,-19.89856444299221
500,100,102604.71156894446,-19.80487361784617
500,100,102605.21271373665,-19.303728825660073
1000,100,102605.68869047391,-18.827752088400302
500,100,102606.26512887247,-18.251313689834205
500,100,102607.4153973615,-17.101045200804947
1000,100,102607.55386469224,-16.962577870071982
500,100,102608.37623176762,-16.140210794692393
200,100,102623.57267545367,-0.9437671086343471
2500,100,102631.28081732195,6.764374759644852
2500,100,102631.69274514189,7.176302579580806
2500,100,102631.76786612088,7.251423558569513
200,100,102631.9629197042,7.446477141886135
2500,100,102632.04048412044,7.52404155813565
200,100,102632.33398209134,7.81753952903091
200,100,102633.41619054237,8.899747980060056
2500,100,102633.59835772158,9.081915159273194
2500,100,102633.99297775107,9.476535188761773
200,100,102634.12266816814,9.606225605835789
2500,100,102636.88555164744,12.369109085135278
200,100,102637.04679163476,12.53034907244728
200,100,102639.35428923197,14.837846669659484
500,100,102640.25038771963,15.733945157320704
2500,100,102640.6638873029,16.14744474059262
200,100,102640.92048557742,16.404043015107163
200,100,102643.25221088374,18.7357683214359
1000,100,102648.46518905732,23.94874649500707
5000,100,102656.78077527846,32.26433271614951
5000,100,102657.04578252161,32.529339959306526
5000,100,102657.43633561031,32.91989304800518
5000,100,102658.24436588607,33.72792332376412
5000,100,102658.36947487279,33.85303231047874
5000,100,102658.77866659456,34.26222403225256
5000,100,102659.13332890812,34.616886345815146
100,100,102660.28185221832,35.765409656014526
5000,100,102662.54989891742,38.03345635511505
100,100,102664.52087434776,40.004431785448105
2500,100,102673.40522573396,48.88878317165654
100,100,102691.13994422116,66.62350165884709
5000,100,102691.52268198234,67.00623942003585
100,100,102695.17496614109,70.65852357877884
100,100,102696.10446772205,71.58802515974094
100,100,102698.70014011914,74.18369755682943
100,100,102700.7219463287,76.20550376639585
100,100,102701.75349743593,77.23705487362167
100,100,102706.84172920315,82.32528664084384
